"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Fractal Dimension and Power Spectrum of Electroencephalography Signals of Sleep Inertia State","S. S. Mohd Radzi; V. S. Asirvadam; M. Z. Yusoff","Centre for Intelligent Signal and Imaging Research, Universiti Teknologi PETRONAS, Seri Iskandar, Malaysia; Department of Electrical and Electronics Engineering, Universiti Teknologi PETRONAS, Seri Iskandar, Malaysia; Centre for Intelligent Signal and Imaging Research, Universiti Teknologi PETRONAS, Seri Iskandar, Malaysia",IEEE Access,"31 Dec 2019","2019","7","","185879","185892","Human brain functions and behaviors during the transition state between sleep and wakefulness are not similar to these at alert wakefulness state. The transition state, which is called sleep inertia, has many unpleasant and dangerous effects on many situations that require full attention and fast response, such as driving. Within 30 minutes after waking up from sleep, the driver’s performance might be impaired due to the sleep inertia effects. Groups of drivers that may drive within a short period after waking up are: workers who travel early in the morning; secondary drivers of long distance bus who sleep in the bus before taking over the job from the primary drivers; night travelers; and long haul truck drivers who stop at the rest area to sleep for a while and continue driving. Previous research used subjective self-report measurement, eye tracker, and a driving simulator to analyze the driver’s performance during sleep inertia state. The physiological measures of the drivers, such as their brain signals have also been studied. However, the brain signals which are recorded in Electroencephalography (EEG) are typically analyzed in perspective of the power spectrum. This study proposes a hybrid of EEG features, which are fractal dimension and power spectrum, supported by behavioral data which is the driver’s reaction time. This study finds the features that significantly differentiate between normal and sleep inertia drivers based on the classification accuracy and p-value of the statistical ANOVA. This study compares the results with other features (power spectrum, variance, sample entropy), and between EEG channel. This study record the EEG from the Fz, T7, Cz, Pz, and O1 channels. This study uses subjective and behavioral measurements to support the results. The results show that the hybrid of fractal dimension estimated by Katz’s algorithm at the O1 channel and delta power from the Fz channel, and alpha power from the O1 channel, have better classifications than the power spectrum alone. Furthermore, the reaction time recorded from the LED reaction time task shows a significant difference between drivers with sleep inertia and normal (alert) drivers.","2169-3536","","10.1109/ACCESS.2019.2960852","Ministry of Higher Education, Malaysia(grant numbers:015MAO-050); Ministry of Education (MOE) Malaysia under Fundamental Research Grant Scheme (FRGS)(grant numbers:0153AB-L27); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936916","Brain signal;EEG;EEG features;electroencephalography;fractal dimension;Katz’s algorithm;power spectrum;sleep inertia;sleep offset;transport safety","Sleep;Electroencephalography;Fractals;Vehicles;Task analysis;Accidents;Safety","","11","","55","CCBY","19 Dec 2019","2019","","IEEE","IEEE Journals"
"Neural Network Adaptive Output Feedback Control for Intensive Care Unit Sedation and Intraoperative Anesthesia","W. M. Haddad; J. M. Bailey; T. Hayakawa; N. Hovakimyan","School of Aerospace Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Anesthesiology, Northeast Georgia Medical Center, Gainesville, GA, USA; Department of Mechanical and Environmental Informatics, Tokyo Institute of Technology, Tokyo, Japan; Department of Aerospace and Ocean Engineering, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",IEEE Transactions on Neural Networks,"9 Jul 2007","2007","18","4","1049","1066","The potential applications of neural adaptive control for pharmacology, in general, and anesthesia and critical care unit medicine, in particular, are clearly apparent. Specifically, monitoring and controlling the depth of anesthesia in surgery is of particular importance. Nonnegative and compartmental models provide a broad framework for biological and physiological systems, including clinical pharmacology, and are well suited for developing models for closed-loop control of drug administration. In this paper, we develop a neural adaptive output feedback control framework for nonlinear uncertain nonnegative and compartmental systems with nonnegative control inputs. The proposed framework is Lyapunov-based and guarantees ultimate boundedness of the error signals. In addition, the neural adaptive controller guarantees that the physical system states remain in the nonnegative orthant of the state space. Finally, the proposed approach is used to control the infusion of the anesthetic drug propofol for maintaining a desired constant level of depth of anesthesia for noncardiac surgery.","1941-0093","","10.1109/TNN.2007.899164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4267708","Adaptive control;automated anesthesia;bispectral index (BIS);dynamic output feedback;electroencephalography;neural networks;nonlinear nonnegative systems;nonnegative control;set-point regulation","Neural networks;Adaptive systems;Programmable control;Adaptive control;Output feedback;Anesthesia;Control systems;Medical control systems;Surgery;Biological system modeling","Anesthesia;Computer Simulation;Drug Therapy, Computer-Assisted;Electroencephalography;Expert Systems;Feedback;Hypnotics and Sedatives;Intensive Care;Models, Biological;Monitoring, Intraoperative;Neural Networks (Computer)","66","2","46","IEEE","9 Jul 2007","July 2007","","IEEE","IEEE Journals"
"Consformer: Consciousness Detection Using Transformer Networks With Correntropy-Based Measures","X. Sun; Y. Qi; X. Ma; C. Xu; B. Luo; G. Pan","College of Computer Science and Technology, Zhejiang University, Hangzhou, China; State Key Laboratory of Brain-Machine Intelligence and the MOE Frontier Science Center for Brain Science and Brain-Machine Integration, Zhejiang University, Hangzhou, China; School of Brain Science and Brain Medicine, Zhejiang University, Hangzhou, China; Department of Neurology, Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, China; Department of Neurology, The First Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, China; State Key Laboratory of Brain-Machine Intelligence and the College of Computer Science and Technology, Zhejiang University, Hangzhou, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"13 Jul 2023","2023","31","","2933","2943","Consciousness detection is important in diagnosis and treatment of disorders of consciousness (DOC). Recent studies have demonstrated that electroencephalography (EEG) signals contain effective information for consciousness state evaluation. We propose two novel EEG measures: the spatiotemporal correntropy and the neuromodulation intensity, to reflect the temporal-spatial complexity in brain signals for consciousness detection. Then, we build a pool of EEG measures with different spectral, complexity and connectivity features, and propose Consformer, a transformer network to learn an adaptive optimization of features for different subjects with the attention mechanism. Experiments are carried out using a large dataset of 280 resting-state EEG recordings of DOC patients. Consformer discriminates minimally conscious state (MCS) from vegetative state (VS) with an accuracy of 85.73% and an F1-score of 86.95%, which achieves the state-of-the-art performance.","1558-0210","","10.1109/TNSRE.2023.3250958","Science Technology Innovation 2030 Major Projects(grant numbers:2021ZD0200400); Natural Science Foundation of China(grant numbers:U1909202,62276228,61925603); Key Research and Development Program of Zhejiang Province in China(grant numbers:2020C03004); Key Realm Research and Development Program of Guangzhou(grant numbers:202007030005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057051","Consciousness detection;electroencephalogram;transformer;correntropy;machine learning","Electroencephalography;Neuromodulation;Spatiotemporal phenomena;Complexity theory;Recording;Transformers;Probability density function","Humans;Consciousness;Brain;Persistent Vegetative State;Electroencephalography;Learning","12","","48","CCBYNCND","1 Mar 2023","2023","","IEEE","IEEE Journals"
"Graph-Theory-Based Multilevel Cortical Functional Connectivity Developmental Analysis","K. Pan; T. Jiang; R. Zheng; T. Wang; F. Gao; J. Cao","Machine Learning and I-Health International Cooperation Base of Zhejiang Province and the Artificial Intelligence Institute, Hangzhou Dianzi University, Hangzhou, China; Department of Neurology, The Children’s Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Children Health, Hangzhou, China; Machine Learning and I-Health International Cooperation Base of Zhejiang Province and the Artificial Intelligence Institute, Hangzhou Dianzi University, Hangzhou, China; Machine Learning and I-Health International Cooperation Base of Zhejiang Province and the Artificial Intelligence Institute, Hangzhou Dianzi University, Hangzhou, China; Department of Neurology, The Children’s Hospital, Zhejiang University School of Medicine, National Clinical Research Center for Children Health, Hangzhou, China; Machine Learning and I-Health International Cooperation Base of Zhejiang Province and the Artificial Intelligence Institute, Hangzhou Dianzi University, Hangzhou, China",IEEE Transactions on Cognitive and Developmental Systems,"4 Apr 2024","2024","16","2","650","659","Functional connectivity (FC) is an efficient measurement to describe brain’s traits in information processing. But FCs at developmental stages from infancy to adolescence usually have severe individual variance, may affect the FC characterization analysis. Yet few past studies try to address this problem. In this article, we select quiet sleep (QS) and nonrapid eye movement (NREM) period electroencephalogram (EEG) of 42 healthy subjects from 0 to 17 years old for study. Random network combined with stability measurement using Shannon entropy (SE) is used to construct the individual-level FC (ILFC), which can describe the individual brain’s interaction. Majority voting is applied to construct the group-level FC (GLFC), which can describe the core part of ILFCs within the same age. Based on FCs, graph theory and statistical analysis are further applied, where the following conclusions are observed: 1) the  $\beta $  band of EEG is most important in showing the age related variance of functional separation and integration; 2) 3 months–3 years old is the transition period from intrasubnetwork interacting mode to intersubnetwork interacting mode; 3) the phenomenon of complementation and overlay among GLFCs in different bands can be found; and 4) the GLFC’s network centrality becomes not obvious as age increases during 1–14 years old.","2379-8939","","10.1109/TCDS.2023.3285771","National Key Research and Development Program of China(grant numbers:2021YFE0100100); National Natural Science Foundation of China(grant numbers:U1909209); Natural Science Key Foundation of Zhejiang Province(grant numbers:LZ22F030002); Research Funding of Education of Zhejiang Province(grant numbers:GK228810299201); University-Industry Collaborative Education Program(grant numbers:202002307010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10153344","Functional connectivity (FC);graph theory;majority voting;nonrapid eye movement (NREM) sleep electroencephalogram (EEG);quiet sleep (QS) EEG;random network","Electroencephalography;Pediatrics;Sleep;Graph theory;Recording;Neurons;Brain","","4","","49","IEEE","14 Jun 2023","April 2024","","IEEE","IEEE Journals"
"Monitoring the Depth of Anesthesia Based on Phase-Amplitude Coupling of Near-Infrared Spectroscopy Signals","Z. Liu; L. Si; J. Li; J. Zhu; W. H. Lee; B. Chen; X. Yan; Q. Wang; G. Wang","Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Department of Anesthesiology, Honghui Hospital, and the Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Department of Anesthesiology, Shaanxi Provincial People’s Hospital, and the Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Department of Software Convergence, Kyung Hee University, Yongin-si, Republic of Korea; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China; Department of Anesthesiology and the Center for Brain Science, First Affiliated Hospital, Xi’an Jiaotong University, Xi’an, China; Key Laboratory of Biomedical Information Engineering of Ministry of Education, Institute of Biomedical Engineering, School of Life Science and Technology, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"6 Jul 2023","2023","31","","2849","2857","Accurate monitoring of the depth of anesthesia (DOA) is essential to ensure the safety of the operation. In this study, a new index using near-infrared spectroscopy (NIRS) signal was proposed to assess the relationship between the DOA and cerebral hemodynamic variables. Methods: Four cerebral hemodynamic variables of 15 patients were collected, including left, right, proximal, distal, oxygenated (HbO $_{{2}}{)}$  and deoxygenated (Hb) hemoglobin concentration changes. The Phase-Amplitude coupling (PAC), an adaptation of cross-frequency coupling to reflect the modulation of the amplitude of high-frequency signals by the phase of low-frequency signals, was measured and the modulation index (MI) was obtained to monitor the DOA afterwards. Meanwhile, the BIS value based on electroencephalogram is also measured and compared. Results: Compared with awake period, in anesthesia maintenance period, the PAC was strengthened. The analysis of receiver operating characteristic (ROC) curve showed that the MI, especially the MI of rp-HbO2, could effectively discriminate these two periods. Additionally, during the whole anesthesia process, the BIS value was statistically consistent with the MI of cerebral hemodynamic variables, and cerebral hemodynamic variables were immune from interference by clinical electric devices. Conclusion: The MI of cerebral hemodynamic variables was appropriate to be used as a new index to monitor the DOA. Significance: This study is of great significance to the development of new modes of anesthesia monitoring and new decoding methods, and is expected to develop a high-performance anesthesia monitoring system.","1558-0210","","10.1109/TNSRE.2023.3289183","National Natural Science Foundation of China(grant numbers:32071372,62271385); National Key Research and Development Program of China(grant numbers:2022YFC2503803); Sichuan Province Science and Technology Support Program(grant numbers:2022YFS0030); Natural Science Basic Research Program of Shaanxi(grant numbers:2022JM-526); Science and Technology Program of Xi’an(grant numbers:21YXYJ0093); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10163249","Depth of anesthesia;near-infrared spectroscopy;cerebral hemodynamic variables;phase-amplitude coupling","Anesthesia;Hemodynamics;Monitoring;Couplings;Probes;Picture archiving and communication systems;Knee replacement","Humans;Spectroscopy, Near-Infrared;Anesthesia;Hemodynamics;Monitoring, Physiologic;Electroencephalography;Hemoglobins","5","","38","CCBY","26 Jun 2023","2023","","IEEE","IEEE Journals"
"Detecting Disorders of Consciousness in Brain Injuries From EEG Connectivity Through Machine Learning","F. Wang; Y. -C. Tian; X. Zhang; F. Hu","College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; School of Computer Science, Queensland University of Technology, Brisbane, QLD, Australia; College of Information and Computer, Taiyuan University of Technology, Taiyuan, China; Department of Neurology, Shanxi Provincial People’s Hospital affiliated with Shanxi Medical University, Taiyuan, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"21 Jan 2022","2022","6","1","113","123","Disorders of consciousness (DoC) happen frequently in various brain injuries. Their detection helps timely treatment for better survival outcomes of DoC patients. It is conventionally undertaken via clinical examinations, typically behavioural assessments. However, these neurological examinations consume significant resources of manpower and time, making continuous DoC monitoring practically infeasible. To address this issue, a computer-aided approach is proposed in this article for automated DoC detection through extracting knowledge from electroencephalogram (EEG) signals. It introduces a new connectivity measure: Power Spectral Density Difference (PSDD) incorporating with a recursive Cosine function (CPSDD). Then, the approach classifies brain-injured patients into DoC (i.e., positive) and wakefulness (i.e., negative) classes through an ensemble of support vector machines (EOSVM), which is a type of machine-learning methods. It is further applied to a dataset of 607 patients with brain injuries. Our classification results show that the EOSVM classifier with the new connectivity measure CPSDD has achieved the best classification performance among 12 connectivity measures. For a setting of 97% majority voting from all SVMs, the EOSVM has diagnosed, in high confidence, 35% of patients with the accuracy, sensitivity, and specificity of 98.21%, 100%, and 95.79%, respectively. Thus, the classifier EOSVM incorporating with the new connectivity measure CPSDD is a promising tool for automatic detection of DoC in brain injuries.","2471-285X","","10.1109/TETCI.2020.3032662","Department of Science and Technology of the Shanxi Provincial Government of China; Key Research and Development Projects(grant numbers:201803D31045); Australian Research Council(grant numbers:LP140100394); Wu Jieping Medical Foundation of China(grant numbers:320675016129); Research Project Supported by Shanxi Scholarship Council of China(grant numbers:HGKY2019025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9252159","Machine learning;brain connectivity;disorders of consciousness (DoC);electroencephalogram (EEG)","Electroencephalography;Brain injuries;Frequency measurement;Phase measurement;Machine learning;Medical diagnostic imaging;Electrodes","","15","","33","IEEE","9 Nov 2020","Feb. 2022","","IEEE","IEEE Journals"
"Resting-State EEG Functional Connectivity for Brain Function Analysis and Severity Classification in Obstructive Sleep Apnea","M. Liu; L. Zhou; Y. Wang; W. Lin; J. Luo; C. Fu; F. Ding; W. Chen; C. Chen","School of Information Science and Technology, Fudan University, Shanghai, China; School of Information Science and Technology, Fudan University, Shanghai, China; School of Information Science and Engineering, Lanzhou University, Lanzhou, China; School of Information Science and Technology, Fudan University, Shanghai, China; Human Phenome Institute, Fudan University, Shanghai, China; Department of Neurology, Huashan Hospital, Fudan University, Shanghai, China; Department of Pharmacology, School of Basic Medical Sciences, Shanghai Medical College, Fudan University, Shanghai, China; School of Biomedical Engineering, The University of Sydney, Sydney, NSW, Australia; Center for Medical Research and Innovation, Shanghai Pudong Hospital, Human Phenome Institute, Fudan University, Shanghai, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"16 Sep 2025","2025","33","","3662","3673","Obstructive sleep apnea (OSA), one of the most common sleep disorders globally, is closely linked to brain function. Resting-state electroencephalography (EEG), due to its convenience, cost-effectiveness, and high temporal resolution, serves as a valuable tool for exploring the human brain function. This study utilized a large cohort with 968 participants who joined in 15-minute daytime resting-state EEG acquisition and overnight polysomnography (PSG) monitoring. Participants were categorized into healthy controls and mild, moderate, and severe OSA groups based on apnea-hypopnea index (AHI) derived from PSG data. Resting-state EEG functional connectivity (FC) was estimated using correlation (Corr), coherence (Coh), phase-locking value (PLV), and phase lag index (PLI). Results showed that FC between most nodes increased with the OSA severity, which suggest the potential neural compensation. However, regional decreases emerged in the right central, right frontal, left central, and left parieto-occipital regions. Higher frequency bands exhibited fewer enhanced FC connections. Graph-theoretical analysis revealed reduced centrality, indicating weakened communication hubs and potential topological reorganization. Multivariate analysis with adjustment of age, sex, and BMI, was also used as a feature selection strategy, identified effective FC features of OSA severity (p value < adjusted significance threshold, 2.15e-5). These FC features were used in machine learning models for severity classification and enhanced interpretability. The Corr-based XGBoost model achieved the highest performance, with an accuracy of 0.79 and AUC of 0.90. These findings highlight OSA-related brain function alterations and demonstrate that resting-state EEG FC provides a non-invasive, task-free and interpretable tool for OSA severity classification without disrupting natural sleep.","1558-0210","","10.1109/TNSRE.2025.3607776","Shanghai Municipal Science and Technology Major Project(grant numbers:2023SHZDZX02,2017SHZDZX01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11153990","Obstructive sleep apnea;resting-state functional connectivity;graph theory;machine learning;precision medicine","Electroencephalography;Sleep;Indexes;Electrodes;Monitoring;Recording;Data collection;Couplings;Brain modeling;Sleep apnea","Humans;Sleep Apnea, Obstructive;Male;Female;Electroencephalography;Middle Aged;Adult;Polysomnography;Brain;Severity of Illness Index;Rest;Algorithms;Cohort Studies;Neural Pathways;Brain Mapping;Reproducibility of Results","1","","65","CCBY","9 Sep 2025","2025","","IEEE","IEEE Journals"
"The Effect of Beat Frequency Vibration on Sleep Latency and Neural Complexity: A Pilot Study","B. J. Himes; J. D. Blotter; D. B. Kay; S. C. Steffensen; J. B. Feland; K. B. Bills; D. L. Mcpherson; K. Manwaring; D. Lafont-Tanner; B. Layton","Department of Mechanical Engineering, Brigham Young University (BYU), Provo, UT, USA; Department of Mechanical Engineering, Brigham Young University (BYU), Provo, UT, USA; Department of Psychology and Neuroscience, Brigham Young University (BYU), Provo, UT, USA; Department of Psychology and Neuroscience, Brigham Young University (BYU), Provo, UT, USA; Department of Exercise Science, Brigham Young University (BYU), Provo, UT, USA; Noorda College of Osteopathic Medicine, Provo, UT, USA; Department of Psychology and Neuroscience, Brigham Young University (BYU), Provo, UT, USA; Orthopedic and Sports Medicine Group, Orlando Health Orthopedic Institute, Orlando, FL, USA; Department of Psychology and Neuroscience, Brigham Young University (BYU), Provo, UT, USA; Department of Psychology and Neuroscience, Brigham Young University (BYU), Provo, UT, USA",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"13 May 2021","2021","29","","872","883","Insomnia affects millions of people worldwide, and non-pharmacological treatment options are limited. A bed excited with multiple vibration sources was used to explore beat frequency vibration (BFV) as a non-pharmacological treatment for insomnia. A repeated measures design pilot study of 14 participants with mild-moderate insomnia symptom severity (self-reported on the Insomnia Severity Index) was conducted to determine the effects of BFV, and traditional standing wave vibration (SWV) on sleep latency and sleep electrocortical activity. Participants were monitored using high-density electroencephalography (HD-EEG). Sleep latency was compared between treatment conditions. A trend of decreasing sleep latency due to BFV was found for unequivocal sleep latency (p ≤ 0.068). Neural complexity during wake, N1, and N2 stages were compared using Multi-Scale Sample Entropy (MSE), which demonstrated significantly lower MSE between wake and N2 stages (p ≤ 0.002). During N2 sleep, BFV showed lower MSE than the control session in the left frontoparietal region. As a measure of information integration, reduced entropy may indicate that BFV decreases conscious awareness during deeper stages of sleep. SWV caused reduced alpha activity and increased delta activity during wake. BFV caused increased delta activity during N2 sleep. These preliminary results suggest that BFV may help decrease sleep latency, reduce conscious awareness, and increase sleep drive expression during deeper stages of sleep. SWV may be beneficial for decreasing expression of arousal and increasing expression of sleep drive during wake, implying that beat frequency vibration may be beneficial to sleep.","1558-0210","","10.1109/TNSRE.2021.3076983","Brigham Young University (BYU), Provo, UT, USA; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424046","Whole body vibration;beat frequency vibration;multi-scale sample entropy;HD-EEG;scanning laser Doppler vibrometer;insomnia;sleep","Vibrations;Sleep apnea;Frequency modulation;Electrodes;Transducers;Shape;Indexes","Electroencephalography;Humans;Pilot Projects;Sleep;Sleep Initiation and Maintenance Disorders;Sleep Latency;Sleep Stages;Vibration","7","","49","CCBY","5 May 2021","2021","","IEEE","IEEE Journals"
"Voluntary Respiration Control: Signature Analysis by EEG","Y. Wang; Y. Zhang; Y. Zhang; Z. Wang; W. Guo; Y. Zhang; Y. Wang; Q. Ge; D. Wang","School of Mechanical Engineering and Automation, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; Peking University Third Hospital, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China; Peking University Third Hospital, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems and Beijing Advanced Innovation Center for Biomedical Engineering, Beijing, China",IEEE Transactions on Neural Systems and Rehabilitation Engineering,"30 Nov 2023","2023","31","","4624","4634","The perception of voluntary respiratory consciousness is quite important in some situations, such as respiratory assistance and respiratory rehabilitation training, and the key signatures about voluntary respiration control may lie in the neural signals from brain manifested as electroencephalography (EEG). The present work aims to explore whether there exists correlation between voluntary respiration and scalp EEG. Evoke voluntary respiration of different intensities, while collecting EEG and respiration signal synchronously. Data from 11 participants were analyzed. Spectrum characteristics at low-frequency band were studied. Computation of EEG-respiration phase lock value (PLV) and EEG sample entropy were conducted as well. When breathing voluntarily, the 0–2 Hz band EEG power is significantly enhanced in frontal and right-parietal area. The distance between main peaks belonging to the two signals in 0–2 Hz spectrum graph tends to get smaller, while EEG-respiration PLV increases in frontal area. Besides, the sample entropy of EEG shows a trend of decreasing during voluntary respiration in both areas. There’s a strong correlation between voluntary respiration and scalp EEG. Significance: The discoveries will provide guidelines for developing a voluntary respiratory consciousness identifying method and make it possible to monitor people’s intention of respiration by noninvasive BCI.","1558-0210","","10.1109/TNSRE.2023.3332458","National Natural Science Foundation of China(grant numbers:82172553); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316301","Respiration;EEG;PLV;sample entropy","Electroencephalography;Scalp;Electrodes;Task analysis;Training;Monitoring;Correlation","Humans;Respiration;Electroencephalography;Brain;Respiratory Rate;Consciousness","8","","28","CCBY","13 Nov 2023","2023","","IEEE","IEEE Journals"
"Entropy Index in Quantitative EEG Measurement for Diagnosis Accuracy","A. Lay-Ekuakille; P. Vergallo; G. Griffo; F. Conversano; S. Casciaro; S. Urooj; V. Bhateja; A. Trabacca","Department of Innovation Engineering, University of Salento, Lecce, Italy; Department of Innovation Engineering, University of Salento, Lecce, Italy; Department of Innovation Engineering, University of Salento, Lecce, Italy; National Council of Research, Institute of Clinical Physiology, Lecce, Italy; National Council of Research, Institute of Clinical Physiology, Lecce, Italy; Department of Electrical Engineering, Department of Electronics and Communication, Department of Electrical Engineering, Department of Electronics and Communication, Gautam Buddha University, Greater-Noida, India; Department of Electrical Engineering, Department of Electronics and Communication, Department of Electrical Engineering, Department of Electronics and Communication, Gautam Buddha University, Greater-Noida, India; IRCCS “E. Medea,” Scientific Institute for Research, Hospitalization and Health Care, Ass. La Nostra Famiglia, Brindisi, Italy",IEEE Transactions on Instrumentation and Measurement,"8 May 2014","2014","63","6","1440","1450","Electroencephalogram (EEG) remains the most immediate, simple, and rich source of information for understanding phenomena related to brain electrical activities. It is certainly a source of basic and interesting information to be extracted using specific and appropriate techniques. The most important aspect in processing EEG signals is to use less co-lateral assets and instrumentation in order to carried out a possible diagnosis; this is the approach of early diagnosis. Advanced estimate spectral analysis can reveal new information encompassed in EEG signals by means of specific parameters or indices. The research proposes a multidimensional approach with a combined use of decimated signal diagonalization (DSD) as basis from which it is possible to work by finding appropriate signal windows for revealing expected information and overcoming signal processing limitations encountered in quantitative EEG. Important information, about the state of the patient under observation, must be extracted from calculated DSD bispectrum. For this aim, it is useful to define an assessment index about the dynamic process associated with the analyzed signal. This information is measured by means of entropy, since the degree of order/disorder of the recorded EEG signal will be reflected in the obtained DSD bispectrum. The general advantage of multidimensional approach is to reveal eventual stealth frequencies “in space and in time” giving a topological vision to be correlated to physical areas which these frequencies emerge from. Long term and sleeping EEG recorded are analyzed, and the results obtained are of interest for an accurate diagnosis of the patient's clinical condition.","1557-9662","","10.1109/TIM.2013.2287803","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6662414","Biomedical measurements;bispectral analysis;decimated signal diagonalization (DSD);diagnosis accuracy;electroencephalogram (EEG);entropy;signal processing.;Biomedical measurements;bispectral analysis;decimated signal diagonalization (DSD);diagnosis accuracy;electroencephalogram (EEG);entropy;signal processing","Electroencephalography;Entropy;Sleep;Indexes;Time-frequency analysis;Noise","","76","","36","IEEE","12 Nov 2013","June 2014","","IEEE","IEEE Journals"
